Section Name,Count,Year
Arts,5301,2000
Books,2631,2000
Business Day,14781,2000
Food,1023,2000
Health,540,2000
New York,18768,2000
Opinion,8079,2000
Science,864,2000
Sports,8814,2000
Technology,3064,2000
Travel,1303,2000
U.S.,7402,2000
World,5316,2000
Arts,5554,2001
Books,2775,2001
Business Day,15575,2001
Food,1193,2001
Health,756,2001
New York,19935,2001
Opinion,8763,2001
Science,934,2001
Sports,8785,2001
Technology,2452,2001
Travel,1746,2001
U.S.,8266,2001
World,8005,2001
Arts,5308,2002
Books,2816,2002
Business Day,15860,2002
Food,1274,2002
Health,672,2002
New York,19340,2002
Opinion,8565,2002
Science,933,2002
Sports,9235,2002
Technology,1440,2002
Travel,1859,2002
U.S.,8264,2002
World,9061,2002
Arts,5190,2003
Books,2793,2003
Business Day,15411,2003
Food,1182,2003
Health,592,2003
New York,19306,2003
Opinion,8876,2003
Science,923,2003
Sports,8702,2003
Technology,1275,2003
Travel,1874,2003
U.S.,7609,2003
World,10906,2003
Arts,6149,2004
Books,2670,2004
Business Day,14145,2004
Food,734,2004
Health,871,2004
New York,18202,2004
Opinion,11356,2004
Science,647,2004
Sports,7775,2004
Technology,1144,2004
Travel,2085,2004
U.S.,9262,2004
World,8642,2004
Arts,9810,2005
Books,2454,2005
Business Day,15625,2005
Food,464,2005
Health,1533,2005
New York,18080,2005
Opinion,15095,2005
Science,159,2005
Sports,7721,2005
Technology,1606,2005
Travel,2551,2005
U.S.,7984,2005
World,13488,2005
Arts,12562,2006
Books,4303,2006
Business Day,25913,2006
Food,1624,2006
Health,2031,2006
New York,25838,2006
Opinion,16492,2006
Science,839,2006
Sports,12778,2006
Technology,1956,2006
Travel,3232,2006
U.S.,10742,2006
World,13729,2006
Arts,7756,2007
Books,2520,2007
Business Day,17693,2007
Food,1285,2007
Health,1092,2007
New York,12701,2007
Opinion,8083,2007
Science,1115,2007
Sports,9544,2007
Technology,2415,2007
Travel,2120,2007
U.S.,7508,2007
World,7281,2007
Arts,9208,2008
Books,2547,2008
Business Day,20304,2008
Food,2200,2008
Health,1916,2008
New York,12040,2008
Opinion,8782,2008
Science,1569,2008
Sports,13141,2008
Technology,3016,2008
Travel,1897,2008
U.S.,10036,2008
World,6320,2008
Arts,11612,2009
Books,2304,2009
Business Day,20456,2009
Food,2430,2009
Health,3302,2009
New York,10671,2009
Opinion,7905,2009
Science,2397,2009
